,Province_State,Country_Region,Last_Update,Lat,Lng,Confirmed,Deaths,Recovered,Active,Incident_Rate
131,Massachusetts,US,2020-06-30 04:33:48,41.72980578,-70.28854339,1535,145,0,1390,720.6911122587915
132,South Carolina,US,2020-06-30 04:33:48,33.26679302,-81.43584352,77,1,0,76,369.02137448480784
133,Kentucky,US,2020-06-30 04:33:48,36.96469836,-85.93338945,85,2,0,83,192.09473660421705
134,Wisconsin,US,2020-06-30 04:33:48,45.42372701,-91.84833627,34,0,0,34,75.14808593404649
135,Georgia,US,2020-06-30 04:33:48,33.99148694,-83.71436292,485,25,0,460,582.6525708793847
136,Michigan,US,2020-06-30 04:33:48,42.59513984,-85.30834519,98,2,0,96,159.22014622258325
137,Missouri,US,2020-06-30 04:33:48,36.70978521,-93.82919888,43,0,0,43,120.14864902623712
138,Indiana,US,2020-06-30 04:33:48,39.20744865,-85.89558181,578,44,0,534,689.9103593979397
139,Kansas,US,2020-06-30 04:33:48,38.47889676,-98.75636726,56,2,0,54,217.23107956088288
140,Missouri,US,2020-06-30 04:33:48,37.50207671,-94.34757022,21,0,0,21,178.66258295048493
141,Georgia,US,2020-06-30 04:33:48,34.23732119,-84.83887523,677,42,0,635,628.3762460784495
142,Texas,US,2020-06-30 04:33:48,30.10370699,-97.31206354,439,6,0,433,494.7984175467466
143,Missouri,US,2020-06-30 04:33:48,38.25271289,-94.34113157,12,1,0,11,74.20232500618353
144,Kentucky,US,2020-06-30 04:33:48,38.14735938,-83.74588932,13,1,0,12,104.0
145,Virginia,US,2020-06-30 04:33:48,38.05852573,-79.73912095,0,0,0,0,0.0
146,Arkansas,US,2020-06-30 04:33:48,36.28784385,-92.33782872,20,0,0,20,47.696270151674135
147,Florida,US,2020-06-30 04:33:48,30.26548745,-85.62122584,347,4,0,343,198.62053175352744
148,Michigan,US,2020-06-30 04:33:48,43.70639106,-83.98731479,387,30,0,357,375.26908829974985
149,Wisconsin,US,2020-06-30 04:33:48,46.52868768,-91.19716729,3,1,0,2,19.952114924181963
150,Texas,US,2020-06-30 04:33:48,33.61640794,-99.21352901,1,0,0,1,28.498147620404676
151,South Dakota,US,2020-06-30 04:33:48,44.41464384,-98.27858469,523,6,0,517,2834.2274968839756
152,Utah,US,2020-06-30 04:33:48,41.52106798,-113.0832816,1504,2,0,1502,805.0616107655577
153,North Carolina,US,2020-06-30 04:33:48,35.48531943,-76.84325809,80,0,0,80,170.23449802102397
154,South Carolina,US,2020-06-30 04:33:48,32.39226291,-80.72619758,1152,18,0,1134,599.6189920987706
155,Louisiana,US,2020-06-30 04:33:48,30.64836518,-93.34173616,193,8,0,185,514.7078432941302
156,Oklahoma,US,2020-06-30 04:33:48,36.7496847,-100.4758872,30,0,0,30,564.865373752589
157,Pennsylvania,US,2020-06-30 04:33:48,40.6825484,-80.34921611,651,78,0,573,397.1231447760922
158,Montana,US,2020-06-30 04:33:48,45.13434354,-112.8984694,1,0,0,1,10.578652279699568
159,Minnesota,US,2020-06-30 04:33:48,46.93479392,-95.67158144,54,0,0,54,156.87185893152838
160,Oklahoma,US,2020-06-30 04:33:48,35.26862449,-99.68128023,11,0,0,11,50.32252161581042
161,Pennsylvania,US,2020-06-30 04:33:48,40.00522157,-78.48998442,81,3,0,78,169.14467089876382
162,Tennessee,US,2020-06-30 04:33:48,35.51123746,-86.45549096,502,5,0,497,1009.7962303622796
163,Virginia,US,2020-06-30 04:33:48,37.3080028,-79.5281964,114,3,0,111,144.30927756750256
164,Texas,US,2020-06-30 04:33:48,28.41761668,-97.74215593,46,0,0,46,141.25594963918317
165,New Hampshire,US,2020-06-30 04:33:48,43.51637314,-71.41684235,81,1,0,80,132.13056457269627
166,Kentucky,US,2020-06-30 04:33:48,36.73355174,-83.67766671,8,0,0,8,30.73140749846343
167,Texas,US,2020-06-30 04:33:48,31.03736027,-97.4785025,1128,12,0,1116,310.8088745853126
168,Ohio,US,2020-06-30 04:33:48,40.01625942,-80.9924051,524,21,0,503,782.0195206399428
169,Minnesota,US,2020-06-30 04:33:48,47.97373527,-94.93732139,27,0,0,27,57.217936763583964
170,Georgia,US,2020-06-30 04:33:48,31.76095874,-83.22145359,159,1,0,158,952.0958083832336
171,Idaho,US,2020-06-30 04:33:48,47.21754179,-116.6586851,21,0,0,21,225.85502258550227
172,South Dakota,US,2020-06-30 04:33:48,43.19486375,-101.6665572,5,0,0,5,148.5884101040119
173,Vermont,US,2020-06-30 04:33:48,43.03519828,-73.09048868,72,1,0,71,202.98844093600223
174,North Dakota,US,2020-06-30 04:33:48,48.0683985,-99.35916363,3,0,0,3,43.911007025761116
175,Colorado,US,2020-06-30 04:33:48,37.95474293,-103.0720195,4,0,0,4,71.72314864622557
176,Arkansas,US,2020-06-30 04:33:48,36.33644656,-94.25680817,2679,18,0,2661,959.7300289101207
177,Indiana,US,2020-06-30 04:33:48,40.60626947,-87.31093999,46,0,0,46,525.8344764517605
178,Iowa,US,2020-06-30 04:33:48,42.08011739,-92.06463573,58,1,0,57,226.16494443361282
179,Minnesota,US,2020-06-30 04:33:48,45.69804958,-93.99514135,208,3,0,205,508.6942698525276
180,Mississippi,US,2020-06-30 04:33:48,34.81681228,-89.18945516,27,0,0,27,326.91609153650563
181,Missouri,US,2020-06-30 04:33:48,38.29503305,-93.28756116,17,0,0,17,87.43506660494779
182,Oregon,US,2020-06-30 04:33:48,44.49167306,-123.4316987,82,5,0,77,88.12182304708071
183,Tennessee,US,2020-06-30 04:33:48,36.07110411,-88.06849355,12,1,0,11,74.25742574257426
184,Washington,US,2020-06-30 04:33:48,46.23946995,-119.5120834,1718,79,0,1639,840.5499290571946
185,Michigan,US,2020-06-30 04:33:48,44.63899297,-86.01608482,9,0,0,9,50.65856129685917
186,New Jersey,US,2020-06-30 04:33:48,40.96010917,-74.07164325,19375,1985,0,17390,2078.412189632719
187,South Carolina,US,2020-06-30 04:33:48,33.20222596,-79.94654523,1007,21,0,986,441.8468936890925
188,West Virginia,US,2020-06-30 04:33:48,39.46704621,-78.02414609,454,10,0,444,380.9651677001955
189,Pennsylvania,US,2020-06-30 04:33:48,40.41570541,-75.92457766,4521,350,0,4171,1073.4535715303302
190,Massachusetts,US,2020-06-30 04:33:48,42.37428441,-73.20524838,594,44,0,550,475.41298501728767
191,New Mexico,US,2020-06-30 04:33:48,35.05163625,-106.6703554,2109,85,0,2024,310.5484884136995
192,Georgia,US,2020-06-30 04:33:48,31.27590016,-83.22529920000002,114,0,0,114,587.7197504768777
193,Michigan,US,2020-06-30 04:33:48,41.95447397,-86.41313079999998,879,60,0,819,573.0079986440768
194,North Carolina,US,2020-06-30 04:33:48,36.0688473,-76.96545943,145,4,0,141,765.292658468359
195,Alaska,US,2020-06-30 04:33:48,60.90980451,-159.8561831,9,0,0,9,48.950288262808655
196,Texas,US,2020-06-30 04:33:48,29.44928723,-98.52019748,10797,109,0,10688,538.8923882261222
197,Alabama,US,2020-06-30 04:33:48,32.99642064,-87.12511459999996,162,1,0,161,723.4080557292133
198,Georgia,US,2020-06-30 04:33:48,32.80904227,-83.70489165,775,38,0,737,506.0100940852317
199,Louisiana,US,2020-06-30 04:33:48,32.34569994,-93.05398492,220,26,0,194,1661.505928555245
200,Montana,US,2020-06-30 04:33:48,45.42335905,-107.492347,73,3,0,70,548.0891958855768
201,Wyoming,US,2020-06-30 04:33:48,44.52405055,-107.9960365,14,0,0,14,118.74469889737064
202,Minnesota,US,2020-06-30 04:33:48,45.42712824,-96.41403739,14,0,0,14,280.50490883590464
203,North Dakota,US,2020-06-30 04:33:48,47.02366884,-103.3762965,1,0,0,1,107.75862068965515
204,Idaho,US,2020-06-30 04:33:48,43.21672879999999,-112.3978437,37,0,0,37,79.04125098801562
205,Iowa,US,2020-06-30 04:33:48,42.4704581,-92.30524729,2079,57,0,2022,1584.2655530831837
206,Indiana,US,2020-06-30 04:33:48,40.47388153,-85.32499702,35,2,0,33,297.6696717128763
207,North Carolina,US,2020-06-30 04:33:48,34.61296243,-78.56180059,366,3,0,363,1118.5135382922804
208,Idaho,US,2020-06-30 04:33:48,43.4085812,-113.9752658,532,5,0,527,2310.933495504105
209,Nebraska,US,2020-06-30 04:33:48,41.91311716,-99.97677845,0,0,0,0,0.0
210,Oklahoma,US,2020-06-30 04:33:48,35.87518314,-98.43307003,14,0,0,14,148.47809948032662
211,Pennsylvania,US,2020-06-30 04:33:48,40.47961444,-78.34917412,72,1,0,71,59.0992292475519
212,Texas,US,2020-06-30 04:33:48,30.26640707,-98.3999852,27,1,0,26,226.3012320844858
213,Virginia,US,2020-06-30 04:33:48,37.13128068,-81.13599391,2,0,0,2,31.84713375796178
214,Georgia,US,2020-06-30 04:33:48,32.43829035,-83.33035166,58,1,0,57,450.55542608560546
